step,wall_time,correct_move_selection_rate,correct_piece_selection_rate,perfect_move_rate
158720,1745178260.5997934,,,0.0
159232,1745178284.196042,0.0,,
159232,1745178284.1960595,,1.0,
159232,1745178284.1960757,,,0.0
160256,1745178318.8303568,1.0,,
160256,1745178318.8303716,,1.0,
160256,1745178318.8303866,,,1.0
160768,1745178336.4154894,0.0,,
160768,1745178336.415506,,0.0,
160768,1745178336.4155219,,,0.0
161792,1745178370.8199258,0.0,,
161792,1745178370.8199427,,1.0,
161792,1745178370.8199577,,,0.0
162304,1745178388.4325626,0.0,,
162304,1745178388.4325793,,0.0,
162304,1745178388.4325955,,,0.0
162816,1745178405.8772361,0.0,,
162816,1745178405.8772523,,1.0,
162816,1745178405.8772686,,,0.0
164864,1745178475.706313,0.0,,
164864,1745178475.7063324,,0.0,
164864,1745178475.706351,,,0.0
165376,1745178492.6964612,0.0,,
165376,1745178492.6964774,,0.0,
165376,1745178492.6964943,,,0.0
165888,1745178509.543333,0.0,,
165888,1745178509.5433502,,0.0,
165888,1745178509.5433664,,,0.0
166400,1745178526.8224509,0.0,,
166400,1745178526.8224666,,0.0,
166400,1745178526.8224826,,,0.0
166912,1745178544.101284,0.0,,
166912,1745178544.1013002,,0.0,
166912,1745178544.1013155,,,0.0
167424,1745178561.6994078,0.0,,
167424,1745178561.6994245,,1.0,
167424,1745178561.6994405,,,0.0
167936,1745178579.0192893,0.0,,
167936,1745178579.019307,,1.0,
167936,1745178579.019323,,,0.0
168960,1745178613.630651,0.0,,
168960,1745178613.6306667,,0.0,
168960,1745178613.6306837,,,0.0
169984,1745178648.6054783,0.0,,
169984,1745178648.6054943,,1.0,
169984,1745178648.6055095,,,0.0
170496,1745178666.1864364,0.0,,
170496,1745178666.1864526,,0.0,
170496,1745178666.1864693,,,0.0
171008,1745178683.3069193,0.0,,
171008,1745178683.3069367,,0.0,
171008,1745178683.3069522,,,0.0
171520,1745178700.4067497,0.0,,
171520,1745178700.406767,,0.0,
171520,1745178700.406784,,,0.0
173056,1745178753.0030322,0.0,,
173056,1745178753.0030494,,1.0,
173056,1745178753.003066,,,0.0
173568,1745178770.4087858,0.0,,
173568,1745178770.4088016,,0.0,
173568,1745178770.408817,,,0.0
174080,1745178788.1468806,0.0,,
174080,1745178788.1468973,,0.0,
174080,1745178788.1469126,,,0.0
175104,1745178824.200234,0.0,,
175104,1745178824.2002501,,1.0,
175104,1745178824.200266,,,0.0
176640,1745178875.7780795,0.0,,
176640,1745178875.7780952,,0.0,
176640,1745178875.7781124,,,0.0
177152,1745178894.9620223,0.0,,
177152,1745178894.9620383,,1.0,
177152,1745178894.9620547,,,0.0
177664,1745178912.4174573,0.0,,
177664,1745178912.4174736,,1.0,
177664,1745178912.4174888,,,0.0
178176,1745178930.2741525,0.0,,
178176,1745178930.2741694,,1.0,
178176,1745178930.2741857,,,0.0
178688,1745178947.6132467,0.0,,
178688,1745178947.6132622,,1.0,
178688,1745178947.6132774,,,0.0
179200,1745178965.5217514,0.0,,
179200,1745178965.5217662,,1.0,
179200,1745178965.521781,,,0.0
181248,1745179036.5096745,0.0,,
181248,1745179036.5096905,,1.0,
181248,1745179036.5097075,,,0.0
182272,1745179070.8450444,0.0,,
182272,1745179070.84506,,1.0,
182272,1745179070.8450763,,,0.0
182784,1745179088.043678,0.0,,
182784,1745179088.0436943,,0.0,
182784,1745179088.0437105,,,0.0
183296,1745179105.824097,0.0,,
183296,1745179105.8241165,,0.0,
183296,1745179105.8241334,,,0.0
184320,1745179140.946089,0.0,,
184320,1745179140.9461074,,0.0,
184320,1745179140.9461267,,,0.0
185344,1745179175.6187217,0.0,,
185344,1745179175.618738,,0.0,
185344,1745179175.6187544,,,0.0
185856,1745179193.4819024,0.0,,
185856,1745179193.4819217,,0.0,
185856,1745179193.4819403,,,0.0
186880,1745179234.8405457,0.0,,
186880,1745179234.840561,,1.0,
186880,1745179234.840576,,,0.0
187392,1745179253.8876517,0.0,,
187392,1745179253.8876705,,1.0,
187392,1745179253.8876886,,,0.0
187904,1745179272.3634665,0.0,,
187904,1745179272.3634877,,0.0,
187904,1745179272.3635085,,,0.0
188416,1745179292.3446722,0.0,,
188416,1745179292.3447511,,0.0,
188416,1745179292.3447816,,,0.0
188928,1745179311.5324311,0.0,,
188928,1745179311.5324485,,1.0,
188928,1745179311.532464,,,0.0
192000,1745179430.1721156,0.0,,
192000,1745179430.1721315,,0.0,
192000,1745179430.172147,,,0.0
192512,1745179450.0505607,0.0,,
192512,1745179450.0505803,,0.0,
192512,1745179450.0505996,,,0.0
193024,1745179469.8830843,0.0,,
193024,1745179469.883102,,0.0,
193024,1745179469.8831193,,,0.0
194048,1745179511.7132053,0.0,,
194048,1745179511.713221,,0.0,
194048,1745179511.7132375,,,0.0
195072,1745179550.1418264,0.0,,
195072,1745179550.1418426,,0.0,
195072,1745179550.141858,,,0.0
195584,1745179569.0081525,0.0,,
195584,1745179569.0081692,,0.0,
195584,1745179569.008185,,,0.0
196608,1745179608.9815404,0.0,,
196608,1745179608.9815576,,0.0,
196608,1745179608.9815743,,,0.0
197120,1745179629.2850668,0.0,,
197120,1745179629.2850826,,1.0,
197120,1745179629.2850986,,,0.0
198144,1745179667.7462378,0.0,,
198144,1745179667.746254,,0.0,
198144,1745179667.7462687,,,0.0
198656,1745179688.0810568,0.0,,
198656,1745179688.0810742,,0.0,
